,Date,Teamperature,Inflation,Maize Price,Rice Price
0,2007-01-31,24.1,-0.1,3363.81,6031.07
1,2007-02-28,27.8,3.3,3037.84,5918.4
2,2007-03-31,29.6,1.7,3041.09,5663.24
3,2007-04-30,31.1,2.1,3018.89,5723.89
4,2007-05-31,29.8,2.4,3003.7,5764.36
5,2007-06-30,28.2,3.2,3067.05,5751.63
6,2007-07-31,26.2,1.1,3062.86,5821.54
7,2007-08-31,25.9,-1.2,3295.3,5827.99
8,2007-09-30,26.4,-0.8,3351.01,6016.21
9,2007-10-31,27.4,-0.1,3598.33,6060.76
10,2007-11-30,27.3,3.2,3824.48,6224.71
11,2007-12-31,25.5,8.2,3967.09,6300.57
12,2008-01-31,23.2,12.6,4241.02,6350.07
13,2008-02-29,26.2,8.7,4363.83,6553.28
14,2008-03-31,29.9,12.4,4286.83,6609.44
15,2008-04-30,30.0,13.1,4291.53,6523.26
16,2008-05-31,29.3,14.7,4459.15,6542.42
17,2008-06-30,28.0,18.11,4765.83,6701.84
18,2008-07-31,26.3,20.9,4899.6,6907.29
19,2008-08-31,26.0,18.8,4713.85,6885.69
20,2008-09-30,26.6,17.1,5008.57,6776.18
21,2008-10-31,27.4,19.2,4693.51,6870.66
22,2008-11-30,26.5,18.1,4418.61,6713.2
23,2008-12-31,25.9,18.0,4306.99,6541.78
24,2009-01-31,25.6,18.4,4353.95,6870.79
25,2009-02-28,28.8,20.0,4384.03,7500.75
26,2009-03-31,30.1,16.2,4392.34,7501.65
27,2009-04-30,30.9,15.3,4442.78,7466.85
28,2009-05-31,29.5,15.7,4558.73,7533.4
29,2009-06-30,28.3,13.1,4584.32,7706.31
30,2009-07-31,26.9,12.9,4833.05,7808.7
31,2009-08-31,26.3,12.7,5133.97,8065.28
32,2009-09-30,26.9,12.5,5034.8,8311.82
33,2009-10-31,27.8,13.5,4951.21,8175.54
34,2009-11-30,26.4,13.5,4742.89,8018.23
35,2009-12-31,25.9,15.5,4752.62,7990.55
36,2010-01-31,26.2,15.9,4832.24,8026.27
37,2010-02-28,29.3,16.2,4665.9,8120.01
38,2010-03-31,30.4,15.8,4696.32,8031.63
39,2010-04-30,31.4,16.3,4726.29,7961.73
40,2010-05-31,30.5,13.0,4947.78,8103.67
41,2010-06-30,28.3,15.1,4897.15,8308.84
42,2010-07-31,26.5,14.0,4965.9,8220.82
43,2010-08-31,26.0,15.1,4736.73,8238.77
44,2010-09-30,26.3,14.6,4611.79,8133.4
45,2010-10-31,27.7,14.1,4636.82,8035.16
46,2010-11-30,27.6,14.4,4846.58,8120.06
47,2010-12-31,25.2,12.7,4551.06,8150.41
48,2011-01-31,24.7,10.3,4592.43,8036.49
49,2011-02-28,28.5,12.2,4632.25,8141.81
50,2011-03-31,30.4,12.2,4813.27,8229.87
51,2011-04-30,30.6,11.6,5155.42,8336.85
52,2011-05-31,29.9,12.2,5156.02,8682.3
53,2011-06-30,28.2,9.2,5532.7,8723.41
54,2011-07-31,27.0,7.9,5399.26,8819.35
55,2011-08-31,26.0,8.7,5617.62,8664.26
56,2011-09-30,26.7,9.5,5571.19,9117.15
57,2011-10-31,27.6,9.7,5735.6,8861.25
58,2011-11-30,26.3,9.6,5516.17,8866.04
59,2011-12-31,24.3,11.0,5748.86,9061.75
60,2012-01-31,24.9,13.1,5624.4,9340.93
61,2012-02-29,28.4,9.7,5886.86,9245.53
62,2012-03-31,29.1,11.8,5861.51,9370.97
63,2012-04-30,31.1,11.2,6115.73,9356.49
64,2012-05-31,29.3,12.9,6048.16,9502.22
65,2012-06-30,27.5,12.0,5912.62,9416.75
66,2012-07-31,26.0,12.1,6206.98,9317.05
67,2012-08-31,25.5,9.9,6156.09,9520.22
68,2012-09-30,26.3,10.2,5889.71,9376.52
69,2012-10-31,27.3,11.1,5607.55,9212.31
70,2012-11-30,27.5,11.6,5649.97,9210.35
71,2012-12-31,25.5,10.2,5554.6,9101.14
72,2013-01-31,25.5,10.1,5695.16,9196.29
73,2013-02-28,26.9,11.0,5747.37,9292.22
74,2013-03-31,31.2,9.5,5970.94,9212.23
75,2013-04-30,30.2,10.0,6050.58,9402.69
76,2013-05-31,29.7,9.3,6338.24,9424.68
77,2013-06-30,28.2,9.6,6288.4,9472.74
78,2013-07-31,26.2,10.0,6290.78,9511.61
79,2013-08-31,25.2,9.7,6004.34,9503.86
80,2013-09-30,26.6,9.4,5806.27,9393.2
81,2013-10-31,27.2,9.2,5805.29,9330.59
82,2013-11-30,27.2,9.3,5822.78,9325.34
83,2013-12-31,25.5,9.3,5662.53,9294.29
84,2014-01-31,26.2,9.3,6021.95,9230.1
85,2014-02-28,27.6,9.2,5833.94,9325.17
86,2014-03-31,29.9,9.3,5944.88,9207.35
87,2014-04-30,30.9,9.4,5695.66,9212.67
88,2014-05-31,29.3,9.7,5725.5,9088.12
89,2014-06-30,28.7,9.8,5713.63,9077.21
90,2014-07-31,27.0,9.9,6095.17,9095.1
91,2014-08-31,25.8,10.0,6371.57,9191.97
92,2014-09-30,26.5,9.7,6325.96,9311.88
93,2014-10-31,27.4,9.3,6178.87,9254.73
94,2014-11-30,27.2,9.1,6050.48,9145.53
95,2014-12-31,25.0,9.2,5686.82,9208.08
96,2015-01-31,24.5,9.2,5638.98,9317.39
97,2015-02-28,27.7,9.4,5590.04,9275.45
98,2015-03-31,29.8,9.4,5582.34,9240.61
99,2015-04-30,29.8,9.5,5378.41,9862.67
100,2015-05-31,30.3,9.8,5600.39,9687.17
101,2015-06-30,28.8,10.0,5784.9,9788.23
102,2015-07-31,27.0,10.0,6325.19,9893.75
103,2015-08-31,26.0,10.1,6498.98,10310.24
104,2015-09-30,26.3,10.2,6509.91,10652.55
105,2015-10-31,28.0,10.13,6414.6,10553.5
106,2015-11-30,26.7,10.32,6061.05,10467.73
107,2015-12-31,23.5,10.59,6012.19,10344.86
108,2016-01-31,25.0,10.64,6310.01,10348.32
109,2016-02-29,27.6,11.35,6118.92,10544.07
110,2016-03-31,30.9,12.74,6440.55,10417.08
111,2016-04-30,31.4,13.19,7360.08,10462.37
112,2016-05-31,29.6,14.86,7585.23,11330.73
113,2016-06-30,27.8,15.3,8067.48,11568.85
114,2016-07-31,26.4,15.8,8624.89,12937.03
115,2016-08-31,26.0,16.43,8755.98,15438.24
116,2016-09-30,26.8,16.62,9604.65,16022.06
117,2016-10-31,27.9,17.09,9864.32,16399.96
118,2016-11-30,27.6,17.19,9600.91,16121.28
119,2016-12-31,26.3,17.39,9689.45,15728.13
120,2017-01-31,25.3,17.82,11064.31,16267.01
121,2017-02-28,27.3,18.53,11756.07,17248.61
122,2017-03-31,30.0,18.44,15920.0,17478.85
123,2017-04-30,30.9,19.3,16800.0,19650.0
124,2017-05-31,29.8,19.27,17100.0,18741.77
125,2017-06-30,27.7,19.91,17100.0,18000.0
126,2017-07-31,26.4,20.28,17300.0,17071.19
127,2017-08-31,26.0,20.25,15970.85,17480.0
128,2017-09-30,26.9,20.32,13551.53,16989.52
129,2017-10-31,27.4,20.31,11108.71,16924.79
130,2017-11-30,26.6,20.31,10005.22,16743.93
131,2017-12-31,25.1,19.42,9664.88,16401.4
132,2018-01-31,24.7,18.92,9870.79,16346.72
133,2018-02-28,28.6,17.59,9813.96,16637.04
134,2018-03-31,30.3,16.08,9980.91,16560.81
135,2018-04-30,30.8,14.8,10129.1,16630.32
136,2018-05-31,29.5,13.45,10316.6,16794.88
137,2018-06-30,28.1,12.98,10322.63,16908.09
138,2018-07-31,26.4,12.85,10189.32,16873.26
139,2018-08-31,26.0,13.16,9979.24,16783.28
140,2018-09-30,26.6,13.31,9758.02,16591.2
141,2018-10-31,27.1,13.28,9495.56,16368.17
142,2018-11-30,26.7,13.3,9239.48,16119.99
143,2018-12-31,24.6,13.56,8877.09,15960.75
144,2019-01-31,25.4,13.51,9015.33,15720.55
145,2019-02-28,26.9,13.47,8926.14,15878.52
146,2019-03-31,30.2,13.45,8795.99,15840.56
147,2019-04-30,30.0,13.7,8708.25,15723.79
148,2019-05-31,29.1,13.79,8724.23,16008.22
149,2019-06-30,27.6,13.56,8682.45,15965.47
150,2019-07-31,26.7,13.39,8814.08,15745.49
151,2019-08-31,25.7,13.17,8686.73,15743.07
152,2019-09-30,27.1,13.51,8914.68,15704.49
153,2019-10-31,27.0,14.09,8741.54,15868.23
154,2019-11-30,26.7,14.48,8742.19,16023.59
155,2019-12-31,25.2,14.67,8747.75,15964.19
156,2020-01-31,24.9,14.85,8759.9,15998.44
157,2020-02-29,27.1,14.9,9071.4,15958.23
158,2020-03-31,30.4,14.98,9483.52,15968.17
159,2020-04-30,30.8,15.03,10628.61,17414.03
160,2020-05-31,30.0,15.04,11230.0,20627.23
161,2020-06-30,28.6,15.18,11984.41,20276.62
162,2020-07-31,26.2,15.48,12849.18,20156.32
163,2020-08-31,25.5,16.0,13576.57,20234.02
164,2020-09-30,26.1,16.66,13819.47,21280.73
165,2020-10-31,27.1,17.38,13653.4,22707.27
166,2020-11-30,26.5,18.3,13421.44,22699.81
167,2020-12-31,25.7,19.56,13121.02,22147.84
168,2021-01-31,25.7,20.57,14099.62,22237.12
169,2021-02-28,26.9,21.79,15277.0,23832.97
170,2021-03-31,30.0,22.95,18712.7,24407.99
171,2021-04-30,30.6,22.72,21985.67,26848.26
172,2021-05-31,29.9,22.28,23436.45,29905.81
173,2021-06-30,28.4,21.83,24510.33,29256.91
174,2021-07-31,26.6,21.03,24451.13,29431.18
175,2021-08-31,25.8,20.3,24594.57,30603.46
176,2021-09-30,26.8,19.57,24737.06,30398.09
177,2021-10-31,27.6,18.34,24785.16,30549.25
178,2021-11-30,27.8,17.21,25584.95,30990.56
179,2021-12-31,25.5,17.37,25092.0,31601.93
180,2022-01-31,24.6,17.13,25880.0,32000.0
181,2022-02-28,26.7,17.11,25880.0,31854.91
182,2022-03-31,30.0,17.2,25434.84,31325.81
183,2022-04-30,30.6,18.37,25628.0,30872.5
184,2022-05-31,29.9,19.5,24801.89,31425.78
185,2022-06-30,28.4,20.6,24102.67,31332.01
186,2022-07-31,26.4,22.02,23810.32,31029.45
187,2022-08-31,25.4,23.12,24000.0,31250.75
188,2022-09-30,26.2,23.34,24000.0,32152.85
189,2022-10-31,26.9,23.72,24361.94,32282.6
190,2022-11-30,26.0,24.13,24554.67,34250.49
191,2022-12-31,25.2,23.75,23992.26,36444.63
192,2023-01-31,25.5,24.32,23960.0,38745.23
193,2023-02-28,27.5,24.35,26119.75,34780.2
194,2023-03-31,29.4,24.45,26201.33,32683.82
195,2023-04-30,30.7,24.61,26212.14,33112.93
196,2023-05-31,30.2,24.82,26254.41,34151.55
197,2023-06-30,28.2,25.25,27285.69,34245.58
198,2023-07-31,27.3,26.98,27976.85,40757.28
199,2023-08-31,26.2,29.34,27925.95,46195.97
200,2023-09-30,27.1,30.64,27921.39,45198.9
201,2023-10-31,27.6,31.52,27831.57,45031.98
202,2023-11-30,27.9,32.84,27568.47,46776.8
203,2023-12-31,25.2,33.93,27457.85,47969.89
